124,0,0
123,0,0
122,0,0
121,0,0
120,0,0
119,0,0
118,0,0
117,0,0
116,0,0
115,0,0
114,0,0
113,0,-1
112,1,-2
111,0,0
110,2,-6
109,2,-5
108,4,-2
107,6,-16
106,4,-19
105,10,-47
104,14,-60
103,24,-105
102,49,-176
101,77,-233
100,102,-374
99,174,-548
98,213,-771
97,307,-1060
96,450,-1341
95,614,-1693
94,768,-2292
93,1083,-2768
92,1661,-3937
91,2405,-4960
90,3141,-6169
89,3794,-7222
88,4310,-7995
87,5049,-8652
86,5941,-9898
85,6556,-10443
84,7537,-11787
83,7881,-11908
82,9116,-13095
81,9679,-13238
80,10460,-14004
79,10638,-13933
78,10894,-14065
77,11077,-13900
76,11952,-14959
75,10015,-12093
74,9025,-10597
73,8545,-9999
72,11849,-13514
71,10841,-12002
70,11531,-12524
69,13230,-13978
68,13286,-13837
67,13803,-14602
66,13026,-13487
65,13757,-13732
64,15546,-15125
63,14724,-14906
62,14879,-14451
61,14802,-13997
60,15852,-14836
59,16154,-15154
58,16289,-15236
57,17195,-16030
56,18108,-17008
55,18702,-18092
54,19131,-18115
53,19685,-18666
52,19958,-19258
51,19967,-18807
50,19836,-19343
49,20452,-19207
48,20443,-20244
47,20228,-19622
46,19762,-19247
45,20187,-19463
44,19769,-19117
43,20024,-19040
42,19434,-18724
41,19860,-18501
40,19500,-18509
39,19417,-18337
38,19794,-18715
37,19544,-18417
36,19973,-18908
35,19458,-18109
34,19361,-18090
33,18373,-17309
32,17975,-16558
31,17075,-15716
30,16291,-15242
29,15271,-14599
28,15171,-14138
27,14785,-13553
26,14022,-13235
25,13325,-12898
24,13111,-12330
23,12626,-12265
22,12161,-11721
21,12034,-11150
20,11697,-11016
19,11250,-10618
18,10670,-9893
17,10249,-9849
16,10241,-9813
15,10563,-10056
14,10175,-9564
13,10226,-9880
12,10650,-9831
11,10249,-9829
10,10465,-9774
9,10351,-10302
8,10694,-10049
7,10737,-10195
6,10680,-10112
5,10800,-10035
4,11122,-10550
3,10567,-10051
2,10486,-9827
1,10043,-9496
0,9305,-8721
