87,2864,3040,3105,3039,3058,3037,3807,4794,4934,5049
88,2348,2535,2713,2734,2706,2660,2846,3962,4398,4310
89,1911,2151,2272,2282,2216,2296,2198,2843,3686,3794
90,1583,1624,1896,1992,1965,1925,1926,2027,2919,3141
91,1086,1385,1528,1587,1566,1515,1548,1534,2046,2405
92,864,1043,1130,1274,1326,1366,1266,1302,1354,1661
93,730,705,911,973,1005,1028,940,1020,1018,1083
94,474,550,693,713,788,841,791,763,826,768
95,437,423,436,559,558,620,591,546,623,614
96,332,286,331,400,396,460,427,465,427,450
97,111,308,270,241,302,312,319,340,300,307
98,81,152,176,167,211,217,211,236,246,213
99,47,66,253,147,126,149,134,164,160,174
100,25,43,40,98,77,120,80,100,130,102
101,19,18,24,174,64,67,46,54,70,77
102,14,9,27,17,51,31,36,39,43,49
103,10,9,12,12,111,29,17,21,23,24
104,3,5,7,10,7,31,6,12,13,14
105,4,5,2,9,9,59,7,7,7,10
106,1,2,3,1,3,4,5,4,7,4
107,1,2,1,2,7,6,3,4,4,6
108,0,2,1,3,1,1,0,2,2,4
109,0,2,1,0,1,3,0,4,2,2
110,0,2,1,0,2,1,0,0,1,2
111,1,2,0,0,0,1,0,0,1,0
112,0,2,0,0,0,2,1,0,0,1
113,1,2,2,0,0,0,0,0,1,0
114,0,2,0,0,0,0,0,0,0,0
115,0,2,1,0,0,0,0,0,0,0
116,0,2,0,0,0,0,0,0,0,0
117,0,2,1,1,0,0,0,0,0,0
118,0,2,0,0,0,0,0,0,0,0
119,0,2,0,1,0,0,0,0,0,0
120,0,2,0,0,0,0,0,0,0,0
121,0,2,1,0,0,0,0,0,0,0
122,0,2,1,0,0,0,0,0,0,0
123,0,2,0,1,0,0,0,0,0,0
124,0,2,0,1,0,0,0,0,0,0
