" Población Total por Edades y Sexo"

"FECHA","1996",,,"1998",,,"1999",,,"2000",,,"2001",,,"2002",,,"2003",,,"2004",,,"2005",,,"2006",,,"2007",,,"2008",,,"2009",,,"2010",,,"2011",,,"2012",,,"2013",,,
"SEXO","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL",
,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION
EDAD,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum
"   9",12539.719861,11807.939351,24347.659212,11688.583841,10762.870343,22451.454184,11261.994945,10881.790775,22143.785721,10865.605587,10470.548487,21336.154074,10813.030811,9942.3997836,20755.430595,10627.436713, 9998.460328,20625.897041,       10228,        9797,       20025,       10024,        9232,       19256,        9749,        9447,       19196,        9719,        9319,       19038,        9977,        9539,       19516,        9897,        9257,       19154,       10013,        9726,       19739,       10496,        9739,       20235,       10243,        9763,       20006,       10491,        9794,       20285,       10351,       10302,       20653
"  10",13095.030859,12349.938161, 25444.96902,11842.573002,11483.838286,23326.411288, 11728.55852,10824.103519,22552.662039,11318.707256,10902.814516,22221.521772,10926.077054,10511.332567,21437.409621,10904.377112,10027.540029,20931.917141,       10803,       10152,       20955,       10377,        9919,       20296,       10162,        9360,       19522,        9903,        9582,       19485,        9826,        9465,       19291,       10262,        9781,       20043,       10022,        9378,       19400,       10112,        9803,       19915,       10589,        9785,       20374,       10261,        9820,       20081,       10465,        9774,       20239
"  11",13650.794066,12767.632714, 26418.42678,12601.707116,11850.166958,24451.874074,12031.466609, 11614.78341,23646.250019,11779.874392,10868.160841,22648.035233,11380.128892, 10949.39512,22329.524012,11024.419773,10587.532316,21611.952089,       11054,       10194,       21248,       10971,       10290,       21261,       10539,       10104,       20643,       10285,        9523,       19808,       10064,        9675,       19739,       10081,        9728,       19809,       10386,        9887,       20273,       10096,        9464,       19560,       10207,        9861,       20068,       10635,        9775,       20410,       10249,        9829,       20078
"  12",14008.113683,13300.872299,27308.985982,13421.392242,12494.744732,25916.136974,12803.864851,12031.577165,24835.442016,12093.892011,11649.496644,23743.388654,11824.178159,10915.483552,22739.661711,11487.437262,11056.547742,22543.985004,       11156,       10720,       21876,       11186,       10300,       21486,       11132,       10416,       21548,       10689,       10232,       20921,       10394,        9680,       20074,       10270,        9891,       20161,       10213,        9832,       20045,       10481,        9979,       20460,       10170,        9542,       19712,       10244,        9894,       20138,       10650,        9831,       20481
"  13",15013.043137,14230.756286,29243.799424, 14080.24453,13311.488332,27391.732861,13620.322282,12703.993592,26324.315874,12792.993139,12074.560696,24867.553835,12116.144974,11709.560449,23825.705422,11886.528942,10975.666008, 22862.19495,       11621,       11182,       22803,       11292,       10843,       22135,       11315,       10447,       21762,       11238,       10538,       21776,       10825,       10316,       21141,       10609,        9882,       20491,       10363,        9975,       20338,       10331,        9875,       20206,       10537,       10063,       20600,       10181,        9571,       19752,       10226,        9880,       20106
"  14",15918.279611,15100.586958,31018.866569,14468.406509,13701.819142, 28170.22565,14148.335416,13372.417071,27520.752487,13653.564967,12708.494893, 26362.05986,12813.265811,12168.669454,24981.935264,12208.529991, 11771.74828,23980.278271,       12021,       11118,       23139,       11700,       11283,       22983,       11463,       10962,       22425,       11426,       10534,       21960,       11343,       10674,       22017,       11063,       10522,       21585,       10707,        9958,       20665,       10435,        9998,       20433,       10402,        9938,       20340,       10560,       10058,       20618,       10175,        9564,       19739
"  15",16887.943911, 15604.38278,32492.326692, 15414.93806,14636.021962,30050.960022,14585.508077,  13813.2013,28398.709376,14102.835403,13369.142018,27471.977421,13688.473459,12739.735973,26428.209432,  12887.5656,12214.727712,25102.293312,       12300,       11910,       24210,       12143,       11245,       23388,       11850,       11408,       23258,       11595,       11082,       22677,       11538,       10636,       22174,       11537,       10794,       22331,       11196,       10622,       21818,       10810,       10014,       20824,       10490,       10064,       20554,       10421,        9991,       20412,       10563,       10056,       20619
"  16",17757.130744,16966.355184,34723.485928,16235.296359,15242.578528,31477.874887, 15503.53713,14781.574618,30285.111749,14515.233353,13787.406208,28302.639561, 14148.38421,13400.857406,27549.241616,13784.717051,12836.627443,26621.344494,       13017,       12332,       25349,       12408,       12021,       24429,       12279,       11397,       23676,       11995,       11527,       23522,       11748,       11187,       22935,       11790,       10838,       22628,       11665,       10897,       22562,       11249,       10703,       21952,       10859,       10060,       20919,       10458,       10055,       20513,       10241,        9813,       20054
"  17",18503.764051,17707.817394,36211.581444,17217.364702,16053.033635,33270.398336,16226.294162,15230.590155,31456.884317,15366.566063,14618.944216,29985.510279, 14482.51238,13707.890961, 28190.40334,14145.737138,13383.869117,27529.606255,       13888,       12903,       26791,       13127,       12396,       25523,       12550,       12120,       24670,       12375,       11511,       23886,       12117,       11637,       23754,       11970,       11356,       23326,       11935,       10950,       22885,       11722,       10943,       22665,       11304,       10746,       22050,       10826,       10064,       20890,       10249,        9849,       20098
"  18",18926.849938,18104.321834,37031.171772, 17684.19994,16961.319721,34645.519661,17309.674394,   16061.837,33371.511393,16152.324394,15158.673081,31310.997474,15344.658819,14560.002197,29904.661017,14551.791076,13752.971957,28304.763033,       14275,       13505,       27780,       13921,       12932,       26853,       13316,       12524,       25840,       12676,       12277,       24953,       12570,       11691,       24261,       12516,       11969,       24485,       12124,       11571,       23695,       12053,       11056,       23109,       11867,       11090,       22957,       11349,       10697,       22046,       10670,        9893,       20563
