87,5017,5769,6391,6195,5954,6254,7289,8398,8747,8652
88,4040,5058,5618,5748,5572,5371,5612,7040,8028,7995
89,3563,4288,4762,4974,4846,4800,5029,5932,6962,7222
90,2866,3396,4070,4119,4478,4362,4174,4431,5678,6169
91,2345,2700,3439,3391,3688,3673,3636,3872,4630,4960
92,1820,2219,2632,2795,2942,3241,3193,3047,3313,3937
93,1513,1807,1992,2107,2355,2571,2582,2565,2808,2768
94,974,1278,1619,1596,1849,1982,2190,2169,2145,2292
95,897,1006,1211,1203,1317,1560,1646,1655,1698,1693
96,627,770,867,920,976,1178,1184,1363,1375,1341
97,321,496,639,623,694,803,879,962,1025,1060
98,195,545,493,452,512,581,630,694,789,771
99,132,194,314,350,329,388,376,493,532,548
100,81,118,332,214,228,306,278,322,350,374
101,45,69,104,248,164,190,159,196,239,233
102,32,48,60,62,112,137,114,146,153,176
103,14,27,34,33,144,88,52,74,100,105
104,12,13,27,27,27,62,36,48,70,60
105,8,7,13,16,13,75,24,16,34,47
106,6,7,5,7,12,14,8,18,22,19
107,1,2,3,3,8,8,5,11,5,16
108,1,4,3,2,2,8,2,6,6,2
109,0,3,2,2,2,4,0,3,6,5
110,1,0,2,1,0,3,0,1,0,6
111,3,1,3,1,2,1,1,0,2,0
112,0,0,0,1,0,0,0,0,1,2
113,1,0,1,0,0,3,0,1,0,1
114,1,1,0,1,0,0,0,0,0,0
115,0,0,0,0,1,0,0,0,0,0
116,0,0,1,0,1,0,0,0,0,0
117,0,2,0,1,1,0,0,0,0,0
118,1,0,0,0,0,0,0,0,0,0
119,0,0,2,0,0,0,0,0,0,0
120,0,1,0,2,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0
122,0,0,1,0,0,0,0,0,0,0
123,0,0,0,1,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0
