 Licitación,,,,
"Datos de: SERIE=LICITACIÓN OFICIAL DE OBRAS PÚBLICAS - POR ORGANISMOS - TOTAL, LICITACIÓN OFICIAL DE OBRAS PÚBLICAS - EDIFICACIÓN - VIVIENDA, LICITACIÓN OFICIAL DE OBRAS PÚBLICAS - EDIFICACIÓN - TOTAL, LICITACIÓN OFICIAL DE OBRAS PÚBLICAS - OBRA CIVIL - TOTAL",,,,
COMUNIDAD AUTONOMA,CASTILLA Y LEON,,,
SERIE,LICITACIÓN OFICIAL DE OBRAS PÚBLICAS - POR ORGANISMOS - TOTAL,LICITACIÓN OFICIAL DE OBRAS PÚBLICAS - EDIFICACIÓN - VIVIENDA,LICITACIÓN OFICIAL DE OBRAS PÚBLICAS - EDIFICACIÓN - TOTAL,LICITACIÓN OFICIAL DE OBRAS PÚBLICAS - OBRA CIVIL - TOTAL
UNIDAD DE MEDIDA,MILES DE EUROS,MILES DE EUROS,MILES DE EUROS,MILES DE EUROS
,VALOR,VALOR,VALOR,VALOR
TRIMESTRE,Sum,Sum,Sum,Sum
1º TRIM. 2011, 389533.7749,   253.58467, 130728.7914, 258804.9835
2º TRIM. 2011, 331046.3623,  7242.05624, 144178.7413,186867621
3º TRIM. 2011, 231694.2696,  4299.45764, 62402.73175, 169291.5378
4º TRIM. 2011,127710.8127,  8121.94966, 77911.01292,1199197114
1º TRIM. 2012, 249186.4715,    98.48136, 19875.60477, 229310.8668
2º TRIM. 2012, 73922.89201,0,  7065.37778, 66857.51423
3º TRIM. 2012, 73962.73788,  6389.02186, 23190.83789, 50771.89999
4º TRIM. 2012, 160701.5109,0, 21835.81257, 138865.6983
1º TRIM. 2013, 97832.58586,0, 16915.11219, 80917.47367
2º TRIM. 2013, 135660.1642,  1031.27253, 19043.63198, 116616.5322
3º TRIM. 2013, 237251.0713,0, 13027.23391, 224223.8374
4º TRIM. 2013, 179568.1888,   241.29059, 37993.71721, 141574.4716
1º TRIM. 2014, 491982.6519,   2564.7891, 21483.35901, 470499.2928
2º TRIM. 2014,13322.6134,  2335.41801, 36697.29685, 96528.83717
3º TRIM. 2014, 186391.0721,0, 33396.87605,152994196
